Model,Accuracy,Precision,Recall,F1_Score,Latency_ms,Train_Accuracy,Val_Accuracy,Training_Time_s,Model_Size_MB,Fit_Status,seed,branch,AUROC_Clear,AUROC_Noisy_0.1,Train_Time_s
Decision Tree,0.9953974442278536,0.9956261938805692,0.9953974442278536,0.9954767008544348,0.0,1.0,0.99469352393329,0.2699902057647705,,Balanced,123,ml,,,
XGBoost,0.99772579597141,0.997776167950545,0.99772579597141,0.9977369828866292,0.0097466310381708,0.99955,0.9967511371020142,4.658088684082031,,Balanced,123,ml,,,
LightGBM,0.9968594325319472,0.9970071673733096,0.9968594325319472,0.996906511172744,0.0362791151666837,0.9956,0.9959930690924844,3.829360008239746,,Balanced,123,ml,,,
KNN,0.994314489928525,0.9948543381934544,0.994314489928525,0.9944931979068146,0.0801851849083986,1.0,0.9935564219189952,0.0,,Balanced,123,ml,,,
SVM,0.986733809833225,0.99029133789097,0.986733809833225,0.9880180192262872,0.9064265910696616,0.9624,0.9862464803985272,5.051862001419067,,Balanced,123,ml,,,
Random Forest,0.9968052848169808,0.9969466617787468,0.9968052848169808,0.9968442989691226,0.0092051802245419,0.99975,0.9964262508122156,2.5699963569641118,,Balanced,7,ml,,,
Decision Tree,0.9952891487979209,0.9955256571496444,0.9952891487979209,0.9953598455967932,0.0005417606493392,0.9987,0.9949642625081222,0.2399954795837402,,Balanced,7,ml,,,
XGBoost,0.9976175005414772,0.9976591885789828,0.9976175005414772,0.9976287992334084,0.0048732509699791,0.999,0.9971301711067792,2.149998188018799,,Balanced,7,ml,,,
LightGBM,0.997346761966645,0.9973948159596472,0.997346761966645,0.9973610779163288,0.0373619135153714,0.9998,0.9965345462421484,3.869998216629028,,Balanced,7,ml,,,
KNN,0.9937188650638944,0.9943197842648898,0.9937188650638944,0.993926728275863,0.0931340196521503,1.0,0.9937730127788608,0.0099983215332031,,Balanced,7,ml,,,
SVM,0.987600173272688,0.9918749098852176,0.987600173272688,0.9892632673074054,0.8809679071444155,0.9643,0.9862464803985272,5.0604424476623535,,Balanced,7,ml,,,
Isolation Forest,,,,,,,,,,,42,anomaly,0.954409557396854,0.7823954144904632,0.6000077724456787
Autoencoder,,,,,,,,,,,42,anomaly,0.9803237439290028,0.9776656329700903,4.995076656341553
Isolation Forest,,,,,,,,,,,123,anomaly,0.954409557396854,0.7757098814630188,0.5800034999847412
Autoencoder,,,,,,,,,,,123,anomaly,0.977751626050984,0.9707689783488108,5.158977508544922
Isolation Forest,,,,,,,,,,,7,anomaly,0.954409557396854,0.7713416093252347,0.5986902713775635
Autoencoder,,,,,,,,,,,7,anomaly,0.9792545029104176,0.9746064910857016,5.098104238510132
